"name","scie","lang","tags"
"Mustard leaves","Brassica juncea","A. Horiyo paat; B. Sorisa sag; E. Mustard greens; G. Sarasava pandada; H. Sarson ka sag; Kan. Sasuve yele; Kash. Hakh; Kh. Tyrso; Mal. Kadugu ila; M. Hangaam; Mar. Mochari-chi pan; N. Raayo ko Saag; O. Sarson ka saga; P. Saro da sag; Tam. Kadugu ilai; Tel. Ava akulu; U. Sarson ki patta.","vegetarian eggetarian fishetarian veg"
"Safflower oil (blended)","","","vegetarian eggetarian fishetarian veg"
"Parsley","Petroselinum crispum","A. Sugandhi lota; E. Garden parsley; G. Leela dhana; Mal. Seema malli; Mar. Kothimbir/dhane; Tam. Verkosu; Kan. Auchumooda; U. Ajmod; P. Parsley.","vegetarian eggetarian fishetarian veg"
"Ponnaganni","Alternanthera sessilis","A. Matikaduri; B. Khanchari;G. Saranthi na pan; H. Saranthi sag; Kan. Honagone soppu; Mal. Ponnaganni cheera; M. Phakchet; Mar. Saranthi sag; O. Madarangh; Tam. Ponnaganni keerai; Tel. Ponnaganti koora; U. Kunte ki bhaji.","vegetarian eggetarian fishetarian veg"
"Pumpkin leaves, tender","Cucurbita maxima","A. Rongalao paat; B. Kumra shak; G. Kolam na pan; H. Kumhra sag; Kan. Kumbale soppu; Kash. Aal kaniji; Kh. Sla pathaw; Mal. Manthan elakai; M. Mairen mana; Mar. Bhopla chipan; O. Khakaru saga; P. Petha de pate; Tel. Gummadi akulu; Tam. Parangi ilai; U. Kaddu ka patta.","vegetarian eggetarian fishetarian veg"
"Soyabean oil","","","vegetarian eggetarian fishetarian veg"
"Radish leaves","Raphanus sativus","A. Dherua; B. Mulo shak; G. Muda na pan; H. Muli ka sag; Kan. Mullangi soppu; Kash. Mooji Hakh; Kh. Sla muli; Mal. Mullangi ilaigal; M. Hangham mula; Mar. Mula ka sag; N. Moolaa ko saag; O. Mula ka sag; P. Muli di patte; Tel. Mullangi akulu; Tam. Mullangi ilai; U. Muli ka patta..","vegetarian eggetarian fishetarian veg"
"Rumex leaves","Rumex patientia","A. Suka sak; B. Bun palung; G. Ambada (sorrel); Kan. Chukki soppu; Mar. Amlavetasa; S. Amlavetasa; U. Tukhm hummaz.","vegetarian eggetarian fishetarian veg"
"Spinach","Spinacia oleracea","A. Paleng; B. Palong shak; G. Palak ni bhaji; H. Palak; Kan. Spinak soppu; Kash. Palak; Kh. Palong heh; Mal. Basala cheera; M. Palak; Mar. Palak; N. Paalungo ko Saag; O. Palang sag; P. Palak; S. Paalakya; Tam. Pasalai keerai; Tel. Palakoora; U. Palak.","vegetarian eggetarian fishetarian veg"
"Sunflower oil","","","vegetarian eggetarian fishetarian veg"
"Tamarind leaves, tender","Tamarindus indica","B. Tetul pata; G. Amli na pan; H., P. Imli patte; K. Hunise chiguru; Mal., Tam. Puliam ilaigal; Mar. Chinchecha pala; O. Tentuli; Tel. Chinta chiguru; A. Teteli paat; M. Mange Mana; Kh. Sla sohkyntoi.","vegetarian eggetarian fishetarian veg"
"Ash gourd","Benincasa hispida","A. Kumura; B. Chalkumra; E. Wax gourd, White gourd, Winter gourd, Tallow gourd, Ash pumpkin, Winter melon, Chinese preserving melon; G. Bhuru kodu; H. Petha; Kan. Budagumbala; Kash. Aal; Kh. Pathaw iiwbih; Mal. Kumbalanga; M. Torbot; Mar. Kohala; N. Kubhindo; O. Panikakharu; P. Petha; Tam. Venpoosani; Tel. Boodida gummadi; U. Peta.","vegetarian eggetarian fishetarian veg"
"Bamboo shoot, tender","Bambusa vulgaris","A. Bahgaj; B. Bansber ankur; E. Bamboo sprouts; G. Lilo vans; H. Baans; Kan. Baimbale, Kanile; Kh. Ka lung siej; Mal. Mulankoombu; M. Soidon; Mar. Kalkipan; O. Bhet ki lakdi; P. Baans; Tam. Moongil kuruthu; Tel. Veduru chiguru; U. Bhet ki lakdi.","vegetarian eggetarian fishetarian veg"
"Avocado fruit","Persea americana","B.  Kulunashpati; H. Makhanphal; Kan. Bennephala/Bennehannu; Kash. Goshtub tang; Mal. Aathachakka/ Venna-pazham; Mar. Makhan phal; P. Makhan phal; Tam. Vennaipazham.","vegetarian eggetarian fishetarian veg"
"Bean scarlet, tender","Phaseolus coccineus","A. Lesera mah; E. Runner bean, Scarlet runner bean, Multiflora bean; G. Chodi; H. Sem; Kash. Hyambi; Kh. U buri; M. Hawai Ashaangbi; P. Sem fali.","vegetarian eggetarian fishetarian veg"
"Bitter gourd, jagged, teeth ridges, elongate","Momordica charantia","A. Kerela; B. Korola; E. Bitter melon, Bitter squash, Balsam pear; G. Karela; H. Karela; Kan. Hagal kai; Kash. Karela; Kh. Kerela heh; Mal. Kaippakka; M. Karon Akhabi; Mar. Karle ; N. Tite karela; O. Kalara; P. Karela; S. Tillikaa; Tel. Kakara kaya; Tam. Paavakkai; U. Karela.","vegetarian eggetarian fishetarian veg"
"Bitter gourd, jagged, teeth ridges, short","Momordica charantia","A. Kerela; B. Uchhe; E. Bitter melon, Bitter squash, Balsam pear; G. Marela; H. Karela; Kan. Hagal kai; Kash. Karela; Kh. Kerela rit; Mal. Kaippakka; M. Karon Akhabi; Mar. Karle; N. Tite karela; O. Kalara; P. Karela; S. Tillikaa; Tam. Paavakkai; Tel. Kakara kaya; U. Karela.","vegetarian eggetarian fishetarian veg"
"Bitter gourd, jagged, smooth ridges, elongate","Momordica charantia","A. Kerela; B. Korola; E. Bitter melon, Bitter squash, Balsam pear; G. Karela; H. Karela; Kan. Hagal kai; Kash. Karela; Kh. Kerela; Mal. Kaippakka; M. Karon Akhabi; Mar. Karle; N. Tite karela; O. Kalara; P. Karela; S. Tillikaa; Tam. Paavakkai; Tel. Kakara kaya; U. Karela.","vegetarian eggetarian fishetarian veg"
"Bottle gourd, elongate, pale green","Lagenaria vulgaris","A. Jatilao; B. Lau; E. Calabash, White flowered gourd; G. Dudhi; H. Lowki; Kan. Sorekai; Kash. Zeeth aal; Kh. U klong; Mal. Cheranga; M. Khongdrum; Mar. Pandhara; N. Lauka; O. Lau; P. Kadu; S. Kaarabellam; Tam. Suraikkai; Tel. Sorrakaya; U. Lowki.","vegetarian eggetarian fishetarian veg"
"Bottle gourd, round, pale green","Lagenaria vulgaris","A. Jatilao; B. Lau; E. Calabash, White flowered gourd; G. Dudhi; G. Dudhi; H. Lowki; Kan. Sorekai; Kash. Gool aal; Kh. U klong heh; Mal. Cheranga; M. Khongdrum; Mar. Pandhara; N. Lauka; O. Lau; P. Kdu; S. Kaarabellam; Tam. Suraikkai; Tel. Sorrakaya; U. Lowki.","vegetarian eggetarian fishetarian veg"
"Sheep, heart","","","nonveg"
"Bottle gourd, elongate, dark green","Lagenaria vulgaris","A. Jatilao; B. Lau; E. Calabash, White flowered gourd; G. Dudhi; G. Dudhi; H. Lowki; Kan. Sorekai; U. Lowki; Kash. Zeth aal; Kh. Klong jrong; Mal. Cheranga; M. Khongdrum; Mar. Pandhara; N. Lauka; O. Lau; P. Kadu; S. Kaarabellam; Tam. Suraikkai; Tel. Sorrakaya.","vegetarian eggetarian fishetarian veg"
"Brinjal-1","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-2","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-3","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-4","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-5","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan","vegetarian eggetarian fishetarian veg"
"Brinjal-6","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan","vegetarian eggetarian fishetarian veg"
"Calf, brain","","","nonveg"
"Brinjal-7","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan","vegetarian eggetarian fishetarian veg"
"Brinjal-8","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-9","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-10","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-11","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-12","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-13","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-17","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-14","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-15","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-16","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Calf, tongue","","","nonveg"
"Brinjal-18","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-19","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-20","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal-21","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Brinjal - all varieties","Solanum melongena","A. Bengena; B. Begun; E. Eggplant, Aubergine; G. Ringna; H. Baingan; Kan. Badane; Kash. Wagun; Kh. Sohbaingon jyrngam; Mal. Vazhuthiniga; M. Lam Khamen; Mar. Vange; N. Bhantaa; O. Baigan; P. Baigan; S. Vruntaakam; Tam. Kathirikkai; Tel. Vankaya; U. Baigan.","vegetarian eggetarian fishetarian veg"
"Broad beans","Vicia faba","A. Urahi; B. Makhon shim; E. Fava bean, Faba bean, Field bean, Bell bean, Tic bean; G. Fafda papdi; H. Bakla; Kan. Chkaooaradavare; Kash. Thool Haymbe; Kh. Ri majai; Mal. Amarakka; Mar. Ghewda; O. Simba; Tam. Avarai; Tel. Pedda chikkudu.","vegetarian eggetarian fishetarian veg"
"Calf, heart","","","nonveg"
"Capsicum, green","Capsicum annuum","A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan. Donnmena-sinakayi; Kash. Shimla marchwangan; Kh. Sohmynken jhur jyrngam; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi.","vegetarian eggetarian fishetarian veg"
"Capsicum, red","Capsicum annuum","A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan.  Donnmena- sinakayi; Kash.  Shimla marchwangan; Kh. Sohmynken jhur jyrngam; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi.","vegetarian eggetarian fishetarian veg"
"Capsicum, yellow","Capsicum annuum","A. Kashmiri jalakia; B. Lanka (bilathi); G. Bhuler marcha; H. Shimla mirch; Kan.  Donnmena-sinakayi; Kash. Shimla marchwangan; Kh. Sohmynken jhur stem; Mal. Undamulagu; Mar. Bhoplimirchi; O. Shimla Lanka; P. Shimle-di-mirchi; Tam. Koda milagai; Tel. Shimla mirchi; U. Shimla mirchi.","vegetarian eggetarian fishetarian veg"
"Cauliflower","Brassica oleracea","A. Phul kobi; B. Phul kopi; G. Fulawar; H. Phul gobi; Kan. Hukosu; Kash. Phoolgobi; Kh. Phul kubi; Mal. Cauliflower; M. Kobithamchetmai; Mar. Phul gobi; N. Kauli; O. Phul Kobi; P. Phul gobi; S. Gojihvaa; Tam. Pookosu; Tel. Go puvvu; U. Phul gobi.","vegetarian eggetarian fishetarian veg"
"Celery stalk","Apium graveolens","B. Randhuni; H. Ajmud; Kh. Dieng seleri; G. Celery daandi; Tam. Sivarikkeerai.","vegetarian eggetarian fishetarian veg"
"Cho-cho-marrow","Sechium edule","A. Squash; E. Cho cho marrow, Chayote; H. Cho-cho-marrow; Kan. Cho-cho-marrow; M. Dasakusa; Mal. Cho-cho-marrow; Mar. Cho cho sara; O. Phuti kakudi; Kh. Biskot; Tam. Chow-chow.","vegetarian eggetarian fishetarian veg"
"Cluster beans","Cyamopsis tetragonobola","A. Mah; B. Jhar sim; E. Guar; G. Govar; H. Gaur-ki-phalli; Kan. Gori koyi; Kash. Hyambi; Mal. Kothavara; Mar. Govari; O. Guanra chhuin; P. Guarae-di-faliya; Tam. Kothavaranga; Tel. Goruchikkudu; U. Gavar ki palli.","vegetarian eggetarian fishetarian veg"
"Colocasia, stem, black","Colocasia antiquorum","A. kosu thari; B. Kochur loti; H. Arwi-ki-dandi; Kan. Kesu danthu; Kh. Kawang iong; Mal. Chembin thandu; M. Paan Makhok; Mar. Alu-che-dath; O. Sarunada; P. Arbi de dande; Tam. Seppanthandu; Tel. Chama kada; U. Arwi ke kade.","vegetarian eggetarian fishetarian veg"
"Colocasia, stem, green","Colocasia antiquorum","A. Kosu thari; B. Kochur loti; H. Arwi-ki-dandi; Kan. Kesu danthu; Kh. Ka wang jyrngam; Mal. Chembin thandu; M. Paan Makhok; Mar. Alu-che-dath; O. Sarunada; P. Arbi de dande; Tam. Seppanthandu; Tel. Chama kada; U. Arwi ke kade.","vegetarian eggetarian fishetarian veg"
"Calf, liver","","","nonveg"
"Corn, Baby","Zea mays","Kash. Makai; Kh. Riewhadem lung; M. Chujaak; P. Shoti shalli.","vegetarian eggetarian fishetarian veg"
"Cucumber, green, elongate","Cucumis sativus","A. Tiyoh; B. Sosha; G. Kakdi; H. Kheera, Kachumbar; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia; Mal. Vellarikka; M. Thabi; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.","vegetarian eggetarian fishetarian veg"
"Cucumber, green, short","Cucumis sativus","A. Tiyoh; B. Sosha; G. Kakdi; H. Kheera, Kachumbar; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia; M. Thabi; Mal. Vellarikka; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.","vegetarian eggetarian fishetarian veg"
"Ghee","","","vegetarian eggetarian fishetarian veg"
"Cucumber, orange, round","Cucumis sativus","A. Tiyoh; B. Sosha; G. Kakdi; H. Kakadi; Kan. Southe kayi; Kash. Laar; Kh. Sohkhia pyllon; Mal. Vellarikka; Mar. Kakadi; N. Kakro; O. Kakudi; P. Khira; S. Patolah; Tam. Vellarikkai; Tel. Dosa kaya; U. Kheera.","vegetarian eggetarian fishetarian veg"
"Drumstick","Moringa oleifera","A. Sajina; B. Sajna danta; E. Horseradish, Benzoil; G. Saragavo; H. Saijan-ki-phalli; Kan. Nugga kayi; Kh. Dieng sajana; Mal. Muringakkai; M. Sajana; Mar. Shevanga sheng; O. Sajana chhuin; P. Suhanjana di phalliya; Tam. Murungakkai; Tel. Mulakaada; U. Sujne ki palli.","vegetarian eggetarian fishetarian veg"
"Field beans, tender, broad","Vicia faba","A. Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Vidaiavarai; Tel. Chikkudu ginjalu; U. Sem ki palli.","vegetarian eggetarian fishetarian veg"
"Zucchini, yellow","Cucurbita pepo","B. Dhudul; E. Courgette, Summer squash; H. Sabed kaddu; Kan. Dilpasand; Kash. Kaashiral; Mar. Kashi bhopla; O. Golu phubi kakuri; Tam. Seemai suraikayi.","vegetarian eggetarian fishetarian veg"
"Field beans, tender, lean","Vicia faba","A.Urohi; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Hyambi; Kh. Ri majai; Mal. Avar; Mar. Papta; O. Baragudi; Tel. Chikkudu ginjalu; Tam. Vidaiavarai; U. Sem ki palli.","vegetarian eggetarian fishetarian veg"
"French beans, country","Phaseolus vulgaris","A. French bean; E. Green beans; G. Fansi; H. Bakla; Kan. Huruli kayi; Kash. Hyambi; Kh. Presbin phyrngop; Mal. Beans; Mar. Pharasebee; N. Ghiu Simi; O. Beans; P. Fras bean; Tam. Vidaiavarai; Tel. Sannachikkudu; U. Beans.","vegetarian eggetarian fishetarian veg"
"French beans, hybrid","Phaseolus vulgaris","A. French bean; E. Green beans; G. Fansi; H. Bakla; Kan. Huruli kayi; Kash. Hyambi; Kh. Presbin; Mal. Beans; Mar. Pharasebee; N. Ghiu Simi; O. Beans; P. Fras bean; Tam. Vidaiavarai; Tel. Sannachikkudu; U. Beans.","vegetarian eggetarian fishetarian veg"
"Vanaspati","","","vegetarian eggetarian fishetarian veg"
"Jack fruit, raw","Artocarpus heterophyllus","A. Kothal; B. Kanthal; E. Jackfruit; G. Phanas; H. Kathal; Kash. Bindu; Kan. Halasu; Kh. Soh phan; M. Theibong; Mal. Chakka; Mar. Phanas; N. Katahar; O. Panasa; P. Kathal ki beej; S. Panasa; Tam. Palapazham; Tel. Panasa; U. Kathahal.","vegetarian eggetarian fishetarian veg"
"Jack fruit, seed, mature","Artocarpus heterophyllus","A. Kothal guti; B. Kanthal; E. Jackfruit; G. Phanas; H. Kathal; Kan. Halasu; Kash. Bindu; Kh. Shyieng soh phan; Mal. Chakka; M. Theibong Maru; Mar. Phanas; N. Katahar; P. Kathal; S. Panasa; Tam. Palakkottai; Tel. Panasa; U. Kathahal.","vegetarian eggetarian fishetarian veg"
"Knol - Khol","Brassica oleracea","A. Oolkobi; B. Olkopi; E. Wild cabbage; G. Nol-kol; H. Kohl-rabi; Kan. Noolkol; Kash. Monjh haak; Kh. Phan kubi; Mal. Noolkol; M. Kobi Maru Kabi; Mar. Nol-kol; N. Gyathkopi; O. Ulkobi; P. Ganth gobi; Tam. Knoolkol; Tel. Noolkol.","vegetarian eggetarian fishetarian veg"
"Kovai, big","Coccinia cordifolia","A. Kunduli; B. Telakucha; E. Ivy gourd, Scarlet gourd; G. Ghole gluru; H. Konduri, Kowai; Kan. Tondekayi; Kh. Jhur thliem; Mal. Kova kai; Mar. Tondale; O. Kunduru; Tam. Kova kai; Tel. Donda kaya; U. Tindli.","vegetarian eggetarian fishetarian veg"
"Kovai, small","Coccinia cordifolia","A. Kunduli; B. Telakucha; E. Ivy gourd, Scarlet gourd; G. Ghole gluru; H. Konduri, Kowai; Kan. Tondekayi; Kh. Jhur thliem; Mal. Kova kai; Mar. Tondale; O. Kunduru; Tam. Kova kai; Tel. Donda kaya; U. Tindli.","vegetarian eggetarian fishetarian veg"
"Ladies finger","Abelmoschus esculentus","A. Bhendi; B. Dherosh; E. Okra, Okro, Ochro; G. Bhinda; H. Bhindi; Kan. Bende; Kash. Bindi; Kh. bindi; Mal. Vendakkai; M. Belandri; Mar. Bhendi; N. Ramtoriya; O. Bhendi; P. Bhindi; S. Bhindikaa; Tam. Vendaikkai; Tel. Bendakaya; U. Bhendi.","vegetarian eggetarian fishetarian veg"
"Mango, green, raw","Mangifera indica","A. Keasa aam; B. Aam (kancha); G. Ambo; H. Katcha Aam; Kan. Mavinakayi; Kash. Kach Aamb; Kh. Soh pieng im; Mal. Manga; M. Heinou Ashangba; Mar. Amba; O. Ambu (kacha); P. Kaccha aam; Tam. Mangai; Tel. Mamidikaya; U. Kaccha aam.","vegetarian eggetarian fishetarian veg"
"Onion, stalk","Allium cepa","A. Piyaj paat; B. Piyaz kali; E. Spring onion, Onion greens; G. Dunglina dakkadi (Onion dakkadi); H. Pyaz; Kan. Erulli soppu; Kash. Pichiganda; Kh. Sla piat; Mal. Ulli thandu; M. Tilhou mana; Mar. Pati; N. Chhayapi ko Saag; O. Piaja sandha; P. Hare pyaaz; Tam. Vengaya thaal; Tel. Ulli kadalu; U. Hari pyaaz.","vegetarian eggetarian fishetarian veg"
"Papaya, raw","Carica papaya","A. Kesa omita; B. Pempe (Kacha); E. Papaw, Pawpaw; G. Papayi; H. Katcha pepita; Kan. Parangi; Kh. Soh kymphor im; Kash. Papita; Kon. Dudde; Mal. Omakaya; M. Awathabi Ashangba; Mar. Papaya; O. Amrutabhanda; P. Katcha Pepita; Tam. Pappalikkaai; Tel. Boppayi kaya; U. Papaya.","vegetarian eggetarian fishetarian veg"
"Parwar","Trichosanthes dioica","A. Potol; B. Potol; E. Pointed gourd; G. Padval; H. Parwal; Kan. Mara thonde; Kh. Patol rit; Mal. Kovakkai; Mar. Parwar; O. Potala; P. Parwal; Tel. Kommu potla; U. Parwal.","vegetarian eggetarian fishetarian veg"
"Peas, fresh","Pisum sativum","A. Matar mah; B. Motor shuti; G., Mar. Vatana; Kash. Kaza; O. Matara; H. Matar; Kan., Tel. Batani; Kash. Matar; Kh. Mator; M. Hawai tharaak; P. Hare matar; Mal., Tam. Paccha pattani.","vegetarian eggetarian fishetarian veg"
